geo_id,tract_name,hs_grad_or_higher,bachelors_or_higher,bachelors_degree,graduate_degree,year
1400000US17031140200,"Census Tract 1402, Cook County, Illinois",2681,1108,716,392,2018
1400000US17031140301,"Census Tract 1403.01, Cook County, Illinois",1079,527,400,127,2018
1400000US17031140302,"Census Tract 1403.02, Cook County, Illinois",2393,1105,573,532,2018
1400000US17031140400,"Census Tract 1404, Cook County, Illinois",3587,1690,1058,632,2018
1400000US17031140500,"Census Tract 1405, Cook County, Illinois",2458,917,658,259,2018
1400000US17031140601,"Census Tract 1406.01, Cook County, Illinois",1454,429,306,123,2018
1400000US17031140602,"Census Tract 1406.02, Cook County, Illinois",2500,925,647,278,2018
1400000US17031140701,"Census Tract 1407.01, Cook County, Illinois",1688,718,483,235,2018
1400000US17031140702,"Census Tract 1407.02, Cook County, Illinois",2977,1269,909,360,2018
1400000US17031140800,"Census Tract 1408, Cook County, Illinois",4244,2474,1578,896,2018
1400000US17031150200,"Census Tract 1502, Cook County, Illinois",5221,2324,1595,729,2018
1400000US17031150300,"Census Tract 1503, Cook County, Illinois",4923,2234,1193,1041,2018
1400000US17031150401,"Census Tract 1504.01, Cook County, Illinois",3187,1151,707,444,2018
1400000US17031150402,"Census Tract 1504.02, Cook County, Illinois",2273,770,563,207,2018
1400000US17031150501,"Census Tract 1505.01, Cook County, Illinois",2600,851,541,310,2018
1400000US17031150502,"Census Tract 1505.02, Cook County, Illinois",2690,934,633,301,2018
1400000US17031150600,"Census Tract 1506, Cook County, Illinois",2669,711,524,187,2018
1400000US17031150700,"Census Tract 1507, Cook County, Illinois",2509,823,476,347,2018
1400000US17031150800,"Census Tract 1508, Cook County, Illinois",2774,964,578,386,2018
1400000US17031151001,"Census Tract 1510.01, Cook County, Illinois",1528,426,315,111,2018
1400000US17031151002,"Census Tract 1510.02, Cook County, Illinois",2334,611,480,131,2018
1400000US17031151100,"Census Tract 1511, Cook County, Illinois",2820,801,566,235,2018
1400000US17031151200,"Census Tract 1512, Cook County, Illinois",2108,576,425,151,2018
1400000US17031160100,"Census Tract 1601, Cook County, Illinois",1628,764,475,289,2018
1400000US17031160200,"Census Tract 1602, Cook County, Illinois",2094,1105,521,584,2018
1400000US17031160300,"Census Tract 1603, Cook County, Illinois",2839,1442,929,513,2018
1400000US17031160400,"Census Tract 1604, Cook County, Illinois",2904,1390,861,529,2018
1400000US17031160501,"Census Tract 1605.01, Cook County, Illinois",1899,851,584,267,2018
1400000US17031160502,"Census Tract 1605.02, Cook County, Illinois",1955,673,456,217,2018
1400000US17031160601,"Census Tract 1606.01, Cook County, Illinois",2142,1178,745,433,2018
1400000US17031160602,"Census Tract 1606.02, Cook County, Illinois",2309,1145,789,356,2018
1400000US17031160700,"Census Tract 1607, Cook County, Illinois",4182,2019,1325,694,2018
1400000US17031160800,"Census Tract 1608, Cook County, Illinois",2935,1129,847,282,2018
1400000US17031160900,"Census Tract 1609, Cook County, Illinois",1754,957,565,392,2018
1400000US17031161000,"Census Tract 1610, Cook County, Illinois",1340,785,492,293,2018
1400000US17031161100,"Census Tract 1611, Cook County, Illinois",1337,905,527,378,2018
1400000US17031161200,"Census Tract 1612, Cook County, Illinois",1661,611,482,129,2018
1400000US17031161300,"Census Tract 1613, Cook County, Illinois",2186,655,468,187,2018
1400000US17031170100,"Census Tract 1701, Cook County, Illinois",1573,469,250,219,2018
1400000US17031170200,"Census Tract 1702, Cook County, Illinois",2388,722,454,268,2018
1400000US17031170300,"Census Tract 1703, Cook County, Illinois",3210,1174,746,428,2018
