Reviewer,Date,review,clean_review,polarity,sentiment,year
Jevita N.,2013-07-20,"Its really sad to say that this is one of the few Wal-Mart's on the south side of Chicago. This Wal-Mart is normally accustomed to long lines, ignorant customers, and un helpful staff. Needless to say unless your going to go very far south or north this can be one of your only options. Try not to go on the weekend or at night and you may be able to find what you want and not stay in line for 35 minutes. .",really sad say one walmarts south side chicago walmart normally accustomed long lines ignorant customers un helpful staff needless say unless going go far south north one options try go weekend night may able find want stay line minutes,-0.04999999999999999,Neutral,2013
Jules L.,2013-01-11,"Really? This is why we needed Walmart in Chicago so bad?I might be biased because I don't like Walmart so much to begin with; I much prefer Target. But due to a friend's bridal registry, then a large gift ordered by out-of-town relatives, I have needed to go to this one twice. Well, of course the registry kiosk wasn't functional, why would it be? So the first trip was a wasted one. At least we did get what we came for the second time. But both times, we encountered employees who could not answer any question, no matter how simple (such as where certain departments were located within the store; people who work within ten feet of the registry kiosk and are in fact facing it don't know where it is or if they have one)), could not speak proper English despite it being their first language (sorry, Ebonics does not count as a language), and were much more interested in loudly describing their sex and drinking lives to each other than in doing anything like work. Please. There is no reason to find yourself in this store.",really needed walmart chicago badi might biased dont like walmart much begin much prefer target due friends bridal registry large gift ordered outoftown relatives needed go one twice well course registry kiosk wasnt functional would first trip wasted one least get came second time times encountered employees could answer question matter simple certain departments located within store people work within ten feet registry kiosk fact facing dont know one could speak proper english despite first language sorry ebonics count language much interested loudly describing sex drinking lives anything like work please reason find store,0.04186507936507936,Neutral,2013
Twila J.,2014-03-24,"I was actually glad when this Walmart opened because of the dearth of businesses in so many south side neighborhoods.  Even though Walmart is a ""big box"" retailer with some not so attractive attributes I was looking forward to something that would be better than nothing.  Social consciousness, eco-friendly gobbledy gook, and feelgood slogans aside, what good is a business that won't open in my neighborhood?  Alas, this Walmart manages to be sub-par even with my generally low expectations of a ""big box"" retailer.  I've found pricing to be pretty good on most items.  I commonly find OTC pharmacy items are much less than competitors.   General merchandise is poorly stocked and yet the aisles are perpetually cluttered with boxes.  Things are messy, dirty, and misplaced.  The employees are a mixed bag.  I've had a few efficient and polite ones and some that are rude and unhelpful.  Some days you can get in and out, other days the lines are so long and slow moving that I've dropped the merchandise on the nearest shelf and walked out.  The thing that finally turned me off was going in one night to find a jewelry organizer.  After looking around for a few minutes in jewelry I couldn't find it so I approach the jewelry counter to ask if it might be located elsewhere.  Before I can open my mouth some armed security guard tells me very rudely to step back.  I eventually figured out that the sales girl was counting money to close the register but nothing in my dress or demeanor would indicate that I was there to steal.  Trying to ask where I might be able to find help got another rude brushoff.  I draw the line at being treated rudely and disrespectfully when I'm there to give a business my money.  This Walmart can hire armed guards to mean-mug customers but they can't hire anyone capable of answering a question?  No thanks! I think I've been back one time since that incident to get something very minor.  I have to be in pretty dire straits to deal with this place.  I'm sure they'll do fine without my money but I'd rather drive farther and be able to shop in peace.",actually glad walmart opened dearth businesses many south side neighborhoods even though walmart big box retailer attractive attributes looking forward something would better nothing social consciousness ecofriendly gobbledy gook feelgood slogans aside good business wont open neighborhood alas walmart manages subpar even generally low expectations big box retailer ive found pricing pretty good items commonly find otc pharmacy items much less competitors general merchandise poorly stocked yet aisles perpetually cluttered boxes things messy dirty misplaced employees mixed bag ive efficient polite ones rude unhelpful days get days lines long slow moving ive dropped merchandise nearest shelf walked thing finally turned going one night find jewelry organizer looking around minutes jewelry couldnt find approach jewelry counter ask might located elsewhere open mouth armed security guard tells rudely step back eventually figured sales girl counting money close register nothing dress demeanor would indicate steal trying ask might able find help got another rude brushoff draw line treated rudely disrespectfully im give business money walmart hire armed guards meanmug customers cant hire anyone capable answering question thanks think ive back one time since incident get something minor pretty dire straits deal place im sure theyll fine without money id rather drive farther able shop peace,0.06708333333333331,Neutral,2014
Sammy S.,2012-09-26,"Worst customer service ever! Seriously, employees are RUDE and doesn't do anything. Walmart needs to hire good people. I would not come to this walmart ever again.",worst customer service ever seriously employees rude doesnt anything walmart needs hire good people would come walmart ever,-0.23333333333333334,Negative,2012
Raven J.,2013-01-27,"If I could, I would give this location 0 stars. The shelves are often bare because all the inventory sits on palettes in the aisles. The employees seem uninterested and are just plain rude. The absolute worst Wal-mart I have ever visited. You could not pay me to return to that location. Execs in Bentonville need to visit this location to see how horribly this store represents their brand.",could would give location stars shelves often bare inventory sits palettes aisles employees seem uninterested plain rude absolute worst walmart ever visited could pay return location execs bentonville need visit location see horribly store represents brand,-0.3773809523809524,Negative,2013
Candace W.,2015-01-07,"I am not a fan of Wal-Mart in general because of their practices. Because of this, I have cut down my spending from about 90% to 20-30% in the last few years. This particular store has huge issues and can be a big disappointment with overall customer relations. You never know if you will get the services you need. For example, I ordered a same day photo book in 2013 as a gift. NEVER RECEIVED IT. Went to the store several times and there was always a different excuse.  Today I was there (only because I was a passenger with someone else who decided to stop in). Came across the clearance aisles and saw 1/4 of a wall stocked with Cherrios under huge ""Clearance"" signs. YES!! Well, they didn't have prices on them so I asked a co-manager, Patrick, for the price. He checks with another employee then informs me that they aren't on sale. Excuse me?! Then why are they on the wall marked clearance. Long story short, he argues that they are changing the wall (although NOT ACTIVELY) and that's it. Even threatened to have my mom thrown out the store if she took a picture. Most places will acknowledge the mistake, and give you a discount. But not Patrick, he was steadfast in making sure Wal-Mart didn't lose a dollar. This just confirms my lack of desire to shop there. Oh, and let's talk about how they have the generic white bags with red thank you on it. Talk about bad management! Does corporate know you are not using Wal-Mart brand bags? Wonder what they will think about that. I will say, however, that my cashier, Wakenda was very pleasant as well as the young man in electronics that assisted us with the IPods. Only reason I'm not complaining about being forced to give them one star.",fan walmart general practices cut spending last years particular store huge issues big disappointment overall customer relations never know get services need example ordered day photo book gift never received went store several times always different excuse today passenger someone else decided stop came across clearance aisles saw wall stocked cherrios huge clearance signs yes well didnt prices asked comanager patrick price checks another employee informs arent sale excuse wall marked clearance long story short argues changing wall although actively thats even threatened mom thrown store took picture places acknowledge mistake give discount patrick steadfast making sure walmart didnt lose dollar confirms lack desire shop oh lets talk generic white bags red thank talk bad management corporate know using walmart brand bags wonder think say however cashier wakenda pleasant well young man electronics assisted us ipods reason im complaining forced give one star,0.03717948717948719,Neutral,2015
Glenn H.,2013-09-03,"I think this Walmart getsa bad rep. Yes, if you visit the store around the 1st week of any month of course youre going to get the hoodrats, hoochie mamas, club dressed women, viral gangsters and unruly elderly but it's still at it's core, Walmart. The aisles can be restocked more but I like it overall. The only gripe I have are the cashiers but it's like a drawer of socks, sometimes you get good, sometimes bad....at least with me.",think walmart getsa bad rep yes visit store around st week month course youre going get hoodrats hoochie mamas club dressed women viral gangsters unruly elderly still core walmart aisles restocked like overall gripe cashiers like drawer socks sometimes get good sometimes badat least,-0.07499999999999997,Neutral,2013
Chiffon M.,2017-04-25,Super long lines.  Why can't things in black communities run smoothly? Everytime I go in here the lines are long. I only go bacl because it is so close to home but outs not a run in run out store like I wish.,super long lines cant things black communities run smoothly everytime go lines long go bacl close home outs run run store like wish,0.09333333333333335,Neutral,2017
Bass A.,2021-03-26,"this store need to get closed . this disorganized store don't know what they be doing all mangers need to be fired as soon as possible . they always accusing somebody of stealing things they never correct the issues that need to be correct . never answer the phone on no lines it was an emergency parent couldnt get inconact with the child,bad store bad never shop again never shopping on fucking 83 again walmart bullshit .",store need get closed disorganized store dont know mangers need fired soon possible always accusing somebody stealing things never correct issues need correct never answer phone lines emergency parent couldnt get inconact childbad store bad never shop never shopping fucking walmart bullshit,-0.35,Negative,2021
Vernon P.,2014-11-29,"Walmart, that absolute genius business model. Crappy store cleanliness as usual, genius level supply chain logistics (second only to Amazon.com), savings directly passed down to customers.",walmart absolute genius business model crappy store cleanliness usual genius level supply chain logistics second amazoncom savings directly passed customers,0.012500000000000004,Neutral,2014
Maxxy C.,2015-02-08,"Is this really a ""Supercenter""? I have been here about 3 times.  Typical Walmart- it meets my shopping needs.   I really do not have a complaint about this store. I even shopped here on Thanksgiving.  It was PACKED, but, I was in and out in no time. Its good to have a Walmart in the city of Chicago.",really supercenter times typical walmart meets shopping needs really complaint store even shopped thanksgiving packed time good walmart city chicago,0.10833333333333334,Positive,2015
Melanie W.,2013-07-07,I come to this location because of the convenience of it being near my home but I wish they would hire enough people to restock the shelves in a timely fashion and more cashiers. As for some( not all) of the others shoppers who are straight ignorant I can't blame Walmart for that.,come location convenience near home wish would hire enough people restock shelves timely fashion cashiers others shoppers straight ignorant cant blame walmart,0.10000000000000002,Positive,2013
Monique T.,2016-10-25,Horrible customer service. Staff always has nasty attitudes. I basically find items on my own or my mother helps me and we aren't even employed there.,horrible customer service staff always nasty attitudes basically find items mother helps arent even employed,-1.0,Negative,2016
Fred C.,2016-12-16,"I placed an order and paid for it at this location on October 22, 2016, to be picked up on November 11, 2016 and it never came.Walmart.com told me to cancel the order online and re-order, so I did. However; when I went to the store for assistance, I was at the ""Service Counter"" for over three (3) hours waiting for someone who could pull up the canceled order and give me a refund.  When I reordered, the same thing happened all over again. The best Solution, ""TARGET""!",placed order paid location october picked november never camewalmartcom told cancel order online reorder however went store assistance service counter three hours waiting someone could pull canceled order give refund reordered thing happened best solution target,1.0,Positive,2016
Brandi B.,2018-03-06,This location has some of the worst waiting times that I have ever seen in a Walmart. There were barely any carts available once I entered the store. Shelves need to be restocked with merchandise. This location needs a lot of improvement.,location worst waiting times ever seen walmart barely carts available entered store shelves need restocked merchandise location needs lot improvement,-0.18333333333333332,Negative,2018
Goldie B.,2017-12-18,If I could give this store 0 stars I would. I had a horrible experience while in the customer service department. Walked up to do a return which I stated when I walked up to the short ratchet cashier. She asked me again like she couldn't hear the first time then had the nerve to bounce her shoulders back with an attitude staring at me like I was suppose to be intimidated by her. She was so inappropriate  that I had to walk away from her cause her energy was real stupid. Then I requested to be rung up by someone else & her lame co-workers were being unprofessional like she was. They stated she was the only one doing returns & they were also acting very nonchalant as well. I had to search for management myself in the front because the cashier's in customer service were too lazy to do it. They would not call or page one over the radio. So of course it was an inconvenience. The female manager with a yellow vest on was just as bad as far as taking her sweet time responding to my concerns in a nonchalant manner plus her uniform looked unclean & tacky. She had the nerve to be wearing a dirty looking Erika Badu bandana wrapped high around her head. I definitely will not be shopping here ever again.,could give store stars would horrible experience customer service department walked return stated walked short ratchet cashier asked like couldnt hear first time nerve bounce shoulders back attitude staring like suppose intimidated inappropriate walk away cause energy real stupid requested rung someone else lame coworkers unprofessional like stated one returns also acting nonchalant well search management front cashiers customer service lazy would call page one radio course inconvenience female manager yellow vest bad far taking sweet time responding concerns nonchalant manner plus uniform looked unclean tacky nerve wearing dirty looking erika badu bandana wrapped high around head definitely shopping ever,-0.19937499999999997,Negative,2017
Erika D.,2018-03-12,"This is by far the worst Walmart I have ever been to.  The shelves were not stocked in many of the aisles, the store was nasty and disgusting, there is always someone outside trying to sell you stolen goods, the workers appear to be lazy every time I go in this store, there was not one shopping cart available.  We need to do better! Why does Walmart continue to run this business like this. I will never go to this location again.  Something needs to be done about this Walmart.",far worst walmart ever shelves stocked many aisles store nasty disgusting always someone outside trying sell stolen goods workers appear lazy every time go store one shopping cart available need better walmart continue run business like never go location something needs done walmart,-0.19444444444444445,Negative,2018
