geo_id,tract_name,households_total,median_household_income,mean_household_income,households_50k_74k,households_75k_99k,households_100k_149k,households_150k_199k,households_200k_plus,year
1400000US17031670300,"Census Tract 6703, Cook County, Illinois",417,22395.0,36788.0,5.8,12.2,3.6,0.0,0.0,2019
1400000US17031670400,"Census Tract 6704, Cook County, Illinois",528,28625.0,55445.0,20.8,1.7,4.0,2.3,2.1,2019
1400000US17031670500,"Census Tract 6705, Cook County, Illinois",350,24200.0,34469.0,16.9,7.1,3.4,0.0,0.0,2019
1400000US17031670600,"Census Tract 6706, Cook County, Illinois",336,26250.0,51284.0,3.6,7.4,9.5,6.3,2.1,2019
1400000US17031670700,"Census Tract 6707, Cook County, Illinois",369,27277.0,34764.0,15.4,5.4,0.0,0.0,0.0,2019
1400000US17031670800,"Census Tract 6708, Cook County, Illinois",520,24597.0,37405.0,11.7,3.1,5.6,3.1,0.0,2019
1400000US17031670900,"Census Tract 6709, Cook County, Illinois",471,33438.0,47395.0,8.7,2.8,10.6,0.0,4.7,2019
1400000US17031671100,"Census Tract 6711, Cook County, Illinois",266,33571.0,35411.0,16.2,0.0,6.4,0.0,0.0,2019
1400000US17031671200,"Census Tract 6712, Cook County, Illinois",319,24896.0,38429.0,18.2,5.3,3.8,0.0,1.6,2019
1400000US17031671300,"Census Tract 6713, Cook County, Illinois",665,27882.0,33191.0,11.0,2.6,2.6,1.1,0.0,2019
1400000US17031671400,"Census Tract 6714, Cook County, Illinois",474,23029.0,53642.0,8.4,7.2,8.9,1.5,1.3,2019
1400000US17031671500,"Census Tract 6715, Cook County, Illinois",871,27125.0,36424.0,11.8,3.7,2.0,0.0,2.0,2019
1400000US17031671600,"Census Tract 6716, Cook County, Illinois",667,19132.0,34146.0,10.0,5.2,3.6,0.0,2.1,2019
1400000US17031671800,"Census Tract 6718, Cook County, Illinois",383,28036.0,49735.0,14.4,10.2,4.4,3.1,0.8,2019
1400000US17031671900,"Census Tract 6719, Cook County, Illinois",290,47400.0,52968.0,26.2,10.0,9.3,1.4,0.0,2019
1400000US17031672000,"Census Tract 6720, Cook County, Illinois",1073,36438.0,51823.0,21.8,4.0,9.7,0.7,4.2,2019
1400000US17031680500,"Census Tract 6805, Cook County, Illinois",457,24335.0,37246.0,10.5,6.6,4.4,0.0,2.2,2019
1400000US17031680600,"Census Tract 6806, Cook County, Illinois",362,30244.0,35400.0,9.1,10.5,4.7,0.0,0.0,2019
