geo_id,tract_name,population,median_age,under_18_pct,age_65_plus_pct,white_pct,black_pct,asian_pct,hispanic_pct,year
1400000US17031841700,"Census Tract 8417, Cook County, Illinois",1825,37.8,451,296,93,801,0,1825,2018
1400000US17031841800,"Census Tract 8418, Cook County, Illinois",2435,34.0,690,317,15,2321,0,2435,2018
1400000US17031841900,"Census Tract 8419, Cook County, Illinois",6540,23.5,504,191,3174,1132,1295,6540,2018
1400000US17031842000,"Census Tract 8420, Cook County, Illinois",3134,23.5,141,547,1184,945,673,3134,2018
1400000US17031842100,"Census Tract 8421, Cook County, Illinois",7489,26.1,2979,645,285,3228,63,7489,2018
1400000US17031842200,"Census Tract 8422, Cook County, Illinois",3154,34.9,249,396,2150,379,199,3154,2018
1400000US17031842300,"Census Tract 8423, Cook County, Illinois",3358,33.6,415,145,2333,353,193,3358,2018
1400000US17031842400,"Census Tract 8424, Cook County, Illinois",3115,44.3,696,550,17,3011,76,3115,2018
1400000US17031842500,"Census Tract 8425, Cook County, Illinois",1973,21.6,884,87,2,1970,0,1973,2018
1400000US17031842600,"Census Tract 8426, Cook County, Illinois",4125,36.8,913,522,2160,203,355,4125,2018
1400000US17031842800,"Census Tract 8428, Cook County, Illinois",7035,28.2,2420,439,226,84,336,7035,2018
1400000US17031842900,"Census Tract 8429, Cook County, Illinois",2479,31.5,642,404,257,1887,87,2479,2018
1400000US17031843000,"Census Tract 8430, Cook County, Illinois",2533,25.9,891,260,0,2427,0,2533,2018
1400000US17031843100,"Census Tract 8431, Cook County, Illinois",1692,30.4,545,244,167,1435,0,1692,2018
1400000US17031843200,"Census Tract 8432, Cook County, Illinois",2357,32.5,500,264,580,76,24,2357,2018
1400000US17031843300,"Census Tract 8433, Cook County, Illinois",1972,32.9,401,156,181,1197,12,1972,2018
1400000US17031843400,"Census Tract 8434, Cook County, Illinois",1195,41.4,266,187,39,854,0,1195,2018
1400000US17031843500,"Census Tract 8435, Cook County, Illinois",10317,29.5,383,258,902,6767,31,10317,2018
1400000US17031843600,"Census Tract 8436, Cook County, Illinois",2918,33.6,833,329,73,2592,26,2918,2018
1400000US17031843700,"Census Tract 8437, Cook County, Illinois",2617,35.1,733,185,1512,61,190,2617,2018
1400000US17031843800,"Census Tract 8438, Cook County, Illinois",1482,39.1,375,218,354,839,100,1482,2018
1400000US17031843900,"Census Tract 8439, Cook County, Illinois",3521,46.0,462,766,159,3079,101,3521,2018
1400000US17031980000,"Census Tract 9800, Cook County, Illinois",0,-,0,0,0,0,0,0,2018
1400000US17031980100,"Census Tract 9801, Cook County, Illinois",0,-,0,0,0,0,0,0,2018
1400000US17031990000,"Census Tract 9900, Cook County, Illinois",0,-,0,0,0,0,0,0,2018
1400000US17031010100,"Census Tract 101, Cook County, Illinois",4599,35.6,913,278,1853,2045,46,4599,2019
1400000US17031010201,"Census Tract 102.01, Cook County, Illinois",7455,34.8,1912,509,2328,2481,287,7455,2019
1400000US17031010202,"Census Tract 102.02, Cook County, Illinois",2896,35.0,587,379,879,974,155,2896,2019
1400000US17031010300,"Census Tract 103, Cook County, Illinois",6485,42.2,943,1197,3051,1995,66,6485,2019
